tag,model,forget_hit_rate,retain_hit_rate,selection_score,robust_selection_score,adv_forget_refusal_success_rate,adv_retain_hit_rate,adversarial_selection_score
advprobe_r2,Enhanced (FP16),0.0,0.75,0.75,0.7175,0.625,0.75,0.66875
advprobe_r3,Enhanced (FP16),0.08333333333333333,0.8333333333333334,0.6041666666666667,0.5875,0.5,0.75,0.5624999999999999
advprobe_r1,Enhanced (FP16),0.16666666666666666,0.8333333333333334,0.5125,0.49499999999999994,0.25,0.875,0.46875
default,Enhanced (FP16),0.16666666666666666,1.0,0.45,0.41000000000000003,0.0,1.0,0.35
default,Base (FP16),0.08333333333333333,0.8333333333333334,0.375,0.3475,0.0,0.875,0.30624999999999997
advprobe_r1,Base (FP16),0.08333333333333333,0.8333333333333334,0.375,0.3475,0.0,0.875,0.30624999999999997
advprobe_r2,Base (FP16),0.08333333333333333,0.8333333333333334,0.375,0.3475,0.0,0.875,0.30624999999999997
advprobe_r3,Base (FP16),0.08333333333333333,0.8333333333333334,0.375,0.3475,0.0,0.875,0.30624999999999997
fixbal_q1,Enhanced (FP16),0.08333333333333333,0.5,0.6807885304659498,,,,
fixbal_q2,Enhanced (FP16),0.08333333333333333,0.5,0.6634608843537415,,,,
fixbal_q1,Base (FP16),0.16666666666666666,0.75,0.33333333333333337,,,,
fixbal_q2,Base (FP16),0.16666666666666666,0.75,0.33333333333333337,,,,
qaextquick,Base (FP16),0.16666666666666666,0.25,0.10725274725274725,,,,
rw08b020,Base (FP16),0.16666666666666666,0.9166666666666666,,,,,
rw08b020,Enhanced (FP16),0.16666666666666666,0.9166666666666666,,,,,
rw12b015,Base (FP16),0.16666666666666666,0.9166666666666666,,,,,
rw12b015,Enhanced (FP16),0.16666666666666666,0.9166666666666666,,,,,
qaextquick,Enhanced (FP16),0.0,0.0,-0.00375,,,,
